trialnr	trialtype	endpos	latency	correct
1	left	(1724, 469)	6205.94775390625	0
2	right	(1639, 502)	5744.045166015625	1
3	left	(1518, 577)	21385.56201171875	0
4	left	(1537, 555)	8477.51416015625	0
5	right	(1100, 518)	14901.450927734375	1
6	right	(1091, 516)	12438.0859375	1
7	right	(1048, 544)	7336.022705078125	1
8	left	(1080, 497)	2680.824951171875	0
9	left	(966, 1020)	122.6279296875	0
10	left	(995, 625)	1649.0009765625	0
11	right	(1261, 531)	415.81494140625	1
12	right	(1231, 449)	585.123779296875	1
13	right	(1187, 475)	570.166748046875	1
14	right	(1174, 446)	488.43115234375	1
15	right	(1148, 455)	856.760009765625	1
16	left	(668, 532)	478.22705078125	1
17	left	(537, 514)	783.5439453125	1
18	left	(740, 538)	445.202392578125	1
19	left	(496, 536)	581.845947265625	1
20	right	(1044, 540)	384.10888671875	1
